Time	p1	p2	p3	p4	distance	temp	mfc1	mfc2	mfc3	mfc4	mfc5	mfc6	mfc7	mfc8	mfc9	
16:28:22,8	3,364123	0,730338	-3,139277	-4,763329	3,427462	16,251537	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:22,9	-3,064888	-2,484492	0,073950	-8,621006	3,438637	16,200115	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:22,9	3,364123	0,730338	-6,352505	-9,906898	3,438637	16,302958	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:23,0	0,149617	-2,484492	-9,565733	-9,906898	3,427462	16,354380	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:23,1	-3,064888	0,730338	-6,352505	-9,906898	3,438637	16,302958	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:23,1	0,149617	-2,484492	-6,352505	-9,906898	3,433050	16,251537	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:23,2	0,149617	-2,484492	-9,565733	-9,906898	3,427462	16,200115	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:23,3	3,364123	0,730338	-9,565733	-8,621006	3,427462	16,200115	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:23,3	-3,064888	-2,484492	-9,565733	-2,191545	3,438637	16,200115	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:23,4	0,149617	0,730338	-6,352505	-3,477437	3,433050	16,148693	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:23,5	0,149617	-2,484492	-6,352505	-9,906898	3,433050	16,302958	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:23,5	-3,064888	-5,699322	-3,139277	-11,192790	3,438637	16,354380	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:23,6	0,149617	0,730338	-3,139277	-2,191545	3,433050	16,354380	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:23,7	-3,064888	-2,484492	-9,565733	-2,191545	3,438637	16,251537	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:23,7	-3,064888	-5,699322	-12,778960	-0,905652	3,433050	16,148693	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:23,8	-3,064888	0,730338	-6,352505	-3,477437	3,433050	16,251537	0,043036	0,048541	0,048299	0,085433	0,093749	0,075235	0,692974	0,619820	0,511863
16:28:23,9	0,149617	-2,484492	-6,352505	-7,335114	3,438637	16,302958	0,043040	0,048528	0,048304	0,085426	0,093751	0,075240	0,692954	0,619936	0,511985
16:28:23,9	3,364123	-2,484492	-3,139277	-11,192790	3,433050	16,354380	0,043040	0,048528	0,048304	0,085426	0,093751	0,075240	0,692954	0,619936	0,511985
16:28:24,0	-3,064888	-2,484492	-3,139277	-8,621006	3,433050	16,354380	0,043040	0,048528	0,048304	0,085426	0,093751	0,075240	0,692954	0,619936	0,511985
16:28:24,1	-3,064888	0,730338	-6,352505	-4,763329	3,444224	16,354380	0,043040	0,048528	0,048304	0,085426	0,093751	0,075240	0,692954	0,619936	0,511985
16:28:24,1	0,149617	-2,484492	-6,352505	-0,905652	3,433050	16,045850	0,043040	0,048528	0,048304	0,085426	0,093751	0,075240	0,692954	0,619936	0,511985
16:28:24,2	-3,064888	0,730338	-6,352505	-3,477437	3,438637	16,251537	0,043040	0,048528	0,048304	0,085426	0,093751	0,075240	0,692954	0,619936	0,511985
16:28:24,3	3,364123	0,730338	-3,139277	-4,763329	3,438637	16,251537	0,043040	0,048528	0,048304	0,085426	0,093751	0,075240	0,692954	0,619936	0,511985
16:28:24,3	0,149617	0,730338	-6,352505	-7,335114	3,438637	16,251537	0,043040	0,048528	0,048304	0,085426	0,093751	0,075240	0,692954	0,619936	0,511985
16:28:24,4	3,364123	0,730338	-3,139277	-8,621006	3,433050	16,354380	0,043040	0,048528	0,048304	0,085426	0,093751	0,075240	0,692954	0,619936	0,511985
16:28:24,5	0,149617	-2,484492	-3,139277	-3,477437	3,433050	16,302958	0,043040	0,048528	0,048304	0,085426	0,093751	0,075240	0,692954	0,619936	0,511985
16:28:24,5	3,364123	0,730338	-6,352505	-2,191545	3,438637	16,251537	0,043040	0,048528	0,048304	0,085426	0,093751	0,075240	0,692954	0,619936	0,511985
16:28:24,6	0,149617	0,730338	-6,352505	-4,763329	3,438637	16,302958	0,043040	0,048528	0,048304	0,085426	0,093751	0,075240	0,692954	0,619936	0,511985
16:28:24,7	0,149617	-2,484492	-9,565733	-8,621006	3,433050	16,302958	0,043040	0,048528	0,048304	0,085426	0,093751	0,075240	0,692954	0,619936	0,511985
16:28:24,7	0,149617	-5,699322	-6,352505	-8,621006	3,433050	16,302958	0,043040	0,048528	0,048304	0,085426	0,093751	0,075240	0,692954	0,619936	0,511985
16:28:24,8	0,149617	-5,699322	-6,352505	-3,477437	3,433050	16,302958	0,043028	0,048531	0,048296	0,085414	0,093762	0,075212	0,692921	0,619773	0,511994
16:28:24,9	3,364123	-2,484492	-3,139277	-4,763329	3,438637	16,302958	0,043028	0,048531	0,048296	0,085414	0,093762	0,075212	0,692921	0,619773	0,511994
16:28:24,9	-3,064888	-2,484492	-6,352505	-4,763329	3,438637	16,302958	0,043028	0,048531	0,048296	0,085414	0,093762	0,075212	0,692921	0,619773	0,511994
16:28:25,0	0,149617	0,730338	-3,139277	-6,049221	3,438637	16,354380	0,043028	0,048531	0,048296	0,085414	0,093762	0,075212	0,692921	0,619773	0,511994
16:28:25,1	-6,279394	-2,484492	-6,352505	-6,049221	3,433050	16,302958	0,043028	0,048531	0,048296	0,085414	0,093762	0,075212	0,692921	0,619773	0,511994
16:28:25,1	0,149617	3,945168	-3,139277	-9,906898	3,433050	16,354380	0,043028	0,048531	0,048296	0,085414	0,093762	0,075212	0,692921	0,619773	0,511994
16:28:25,2	0,149617	3,945168	-6,352505	-11,192790	3,433050	16,354380	0,043028	0,048531	0,048296	0,085414	0,093762	0,075212	0,692921	0,619773	0,511994
16:28:25,3	-3,064888	-2,484492	-6,352505	-11,192790	3,433050	16,354380	0,043028	0,048531	0,048296	0,085414	0,093762	0,075212	0,692921	0,619773	0,511994
16:28:25,3	-3,064888	-2,484492	-3,139277	-9,906898	3,427462	16,405802	0,043028	0,048531	0,048296	0,085414	0,093762	0,075212	0,692921	0,619773	0,511994
16:28:25,4	3,364123	-2,484492	-6,352505	-9,906898	3,433050	16,251537	0,043028	0,048531	0,048296	0,085414	0,093762	0,075212	0,692921	0,619773	0,511994
16:28:25,5	0,149617	0,730338	-6,352505	-6,049221	3,433050	16,200115	0,043028	0,048531	0,048296	0,085414	0,093762	0,075212	0,692921	0,619773	0,511994
16:28:25,5	0,149617	3,945168	-6,352505	-3,477437	3,433050	16,200115	0,043028	0,048531	0,048296	0,085414	0,093762	0,075212	0,692921	0,619773	0,511994
16:28:25,6	0,149617	-2,484492	-9,565733	-2,191545	3,433050	16,251537	0,043028	0,048531	0,048296	0,085414	0,093762	0,075212	0,692921	0,619773	0,511994
16:28:25,7	0,149617	-2,484492	-6,352505	-4,763329	3,438637	16,405802	0,043028	0,048531	0,048296	0,085414	0,093762	0,075212	0,692921	0,619773	0,511994
16:28:25,7	0,149617	-2,484492	-3,139277	-7,335114	3,438637	16,251537	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:25,8	-9,493899	0,730338	-9,565733	-8,621006	3,433050	16,200115	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:25,9	-3,064888	-5,699322	-9,565733	-8,621006	3,433050	16,148693	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:25,9	0,149617	-2,484492	-9,565733	-6,049221	3,433050	16,200115	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:26,0	0,149617	-2,484492	-9,565733	-9,906898	3,433050	16,200115	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:26,1	0,149617	-2,484492	-9,565733	-11,192790	3,438637	16,200115	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:26,1	0,149617	-2,484492	-9,565733	-7,335114	3,438637	16,148693	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:26,2	0,149617	-2,484492	-6,352505	-3,477437	3,433050	16,200115	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:26,3	0,149617	3,945168	-6,352505	-2,191545	3,444224	16,251537	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:26,3	0,149617	-2,484492	-9,565733	-2,191545	3,433050	16,200115	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:26,4	-3,064888	-2,484492	-3,139277	-0,905652	3,433050	16,148693	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:26,5	-3,064888	-2,484492	-6,352505	-2,191545	3,438637	16,200115	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:26,5	-3,064888	-5,699322	-3,139277	-3,477437	3,438637	16,200115	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:26,6	-3,064888	-2,484492	-3,139277	-7,335114	3,433050	16,200115	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:26,7	0,149617	-2,484492	-12,778960	-7,335114	3,433050	16,148693	0,043033	0,048544	0,048297	0,085400	0,093786	0,075218	0,692966	0,619913	0,512065
16:28:26,7	-3,064888	-5,699322	-6,352505	-3,477437	3,433050	16,200115	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:26,8	0,149617	0,730338	-6,352505	-2,191545	3,438637	16,251537	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:26,9	3,364123	-2,484492	-9,565733	-2,191545	3,433050	16,251537	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:26,9	6,578629	3,945168	-9,565733	-0,905652	3,427462	16,200115	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:27,0	0,149617	-2,484492	-3,139277	-2,191545	3,433050	16,200115	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:27,1	0,149617	-5,699322	-6,352505	-2,191545	3,433050	16,097272	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:27,1	-6,279394	-5,699322	-3,139277	-4,763329	3,433050	16,097272	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:27,2	-3,064888	0,730338	-3,139277	-9,906898	3,433050	16,148693	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:27,3	3,364123	-2,484492	-12,778960	-6,049221	3,427462	16,200115	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:27,3	-3,064888	0,730338	-3,139277	-0,905652	3,438637	16,097272	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:27,4	0,149617	-2,484492	-3,139277	-3,477437	3,433050	16,148693	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:27,5	0,149617	-2,484492	-3,139277	-6,049221	3,433050	16,148693	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:27,5	0,149617	-2,484492	-9,565733	-7,335114	3,433050	16,302958	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:27,6	0,149617	-2,484492	-3,139277	-9,906898	3,433050	16,302958	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:27,7	0,149617	0,730338	-6,352505	-6,049221	3,438637	16,457223	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:27,7	0,149617	0,730338	0,073950	-2,191545	3,433050	16,302958	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:27,8	0,149617	-2,484492	-3,139277	-7,335114	3,433050	16,354380	0,043013	0,048528	0,048317	0,085398	0,093741	0,075223	0,692873	0,619916	0,511939
16:28:27,9	3,364123	-5,699322	-6,352505	-11,192790	3,438637	16,354380	0,043041	0,048543	0,048303	0,085435	0,093719	0,075236	0,692914	0,619911	0,511891
16:28:27,9	0,149617	-2,484492	0,073950	-7,335114	3,433050	16,405802	0,043041	0,048543	0,048303	0,085435	0,093719	0,075236	0,692914	0,619911	0,511891
16:28:28,0	-3,064888	-2,484492	-6,352505	-4,763329	3,438637	16,354380	0,043041	0,048543	0,048303	0,085435	0,093719	0,075236	0,692914	0,619911	0,511891
16:28:28,1	0,149617	-2,484492	-3,139277	-6,049221	3,438637	16,405802	0,043041	0,048543	0,048303	0,085435	0,093719	0,075236	0,692914	0,619911	0,511891
16:28:28,1	-3,064888	0,730338	-6,352505	-4,763329	3,438637	16,354380	0,043041	0,048543	0,048303	0,085435	0,093719	0,075236	0,692914	0,619911	0,511891
16:28:28,2	0,149617	-5,699322	-3,139277	-2,191545	3,438637	16,251537	0,043041	0,048543	0,048303	0,085435	0,093719	0,075236	0,692914	0,619911	0,511891
16:28:28,3	-3,064888	-8,914152	-6,352505	-2,191545	3,433050	16,302958	0,043041	0,048543	0,048303	0,085435	0,093719	0,075236	0,692914	0,619911	0,511891
16:28:28,3	0,149617	-2,484492	-6,352505	-11,192790	3,438637	16,354380	0,043041	0,048543	0,048303	0,085435	0,093719	0,075236	0,692914	0,619911	0,511891
16:28:28,4	0,149617	0,730338	-3,139277	-7,335114	3,438637	16,354380	0,043041	0,048543	0,048303	0,085435	0,093719	0,075236	0,692914	0,619911	0,511891
16:28:28,5	3,364123	0,730338	-3,139277	-4,763329	3,427462	16,354380	0,043041	0,048543	0,048303	0,085435	0,093719	0,075236	0,692914	0,619911	0,511891
16:28:28,5	-3,064888	0,730338	-6,352505	-3,477437	3,438637	16,354380	0,043041	0,048543	0,048303	0,085435	0,093719	0,075236	0,692914	0,619911	0,511891
16:28:28,6	-6,279394	-2,484492	-6,352505	-2,191545	3,438637	16,251537	0,043041	0,048543	0,048303	0,085435	0,093719	0,075236	0,692914	0,619911	0,511891
16:28:28,7	3,364123	0,730338	-3,139277	-3,477437	3,433050	16,097272	0,043041	0,048543	0,048303	0,085435	0,093719	0,075236	0,692914	0,619911	0,511891
16:28:28,7	3,364123	-2,484492	-6,352505	-4,763329	3,438637	16,148693	0,043041	0,048543	0,048303	0,085435	0,093719	0,075236	0,692914	0,619911	0,511891
16:28:28,8	0,149617	0,730338	-3,139277	-3,477437	3,433050	16,148693	0,043040	0,048535	0,048292	0,085422	0,093741	0,075235	0,692874	0,619902	0,511869
16:28:28,9	0,149617	-2,484492	-9,565733	-2,191545	3,427462	16,200115	0,043040	0,048535	0,048292	0,085422	0,093741	0,075235	0,692874	0,619902	0,511869
16:28:28,9	0,149617	-2,484492	-6,352505	-3,477437	3,433050	16,148693	0,043040	0,048535	0,048292	0,085422	0,093741	0,075235	0,692874	0,619902	0,511869
16:28:29,0	0,149617	-2,484492	-6,352505	-3,477437	3,438637	16,200115	0,043040	0,048535	0,048292	0,085422	0,093741	0,075235	0,692874	0,619902	0,511869
16:28:29,1	-3,064888	3,945168	-6,352505	-7,335114	3,427462	16,097272	0,043040	0,048535	0,048292	0,085422	0,093741	0,075235	0,692874	0,619902	0,511869
16:28:29,1	0,149617	0,730338	-9,565733	-3,477437	3,438637	16,148693	0,043040	0,048535	0,048292	0,085422	0,093741	0,075235	0,692874	0,619902	0,511869
16:28:29,2	-3,064888	0,730338	-3,139277	-3,477437	3,438637	16,251537	0,043040	0,048535	0,048292	0,085422	0,093741	0,075235	0,692874	0,619902	0,511869
16:28:29,3	-3,064888	-2,484492	-9,565733	-8,621006	3,433050	16,251537	0,043040	0,048535	0,048292	0,085422	0,093741	0,075235	0,692874	0,619902	0,511869
16:28:29,3	0,149617	0,730338	-3,139277	-9,906898	3,433050	16,251537	0,043040	0,048535	0,048292	0,085422	0,093741	0,075235	0,692874	0,619902	0,511869
16:28:29,4	3,364123	0,730338	-3,139277	-7,335114	3,433050	16,405802	0,043040	0,048535	0,048292	0,085422	0,093741	0,075235	0,692874	0,619902	0,511869
16:28:29,5	0,149617	-8,914152	-9,565733	-2,191545	3,433050	16,354380	0,043040	0,048535	0,048292	0,085422	0,093741	0,075235	0,692874	0,619902	0,511869
