Time	p1	p2	p3	p4	distance	temp	mfc1	mfc2	mfc3	mfc4	mfc5	mfc6	mfc7	mfc8	mfc9	
10:36:28,3	45,152696	-2,484492	-3,139277	-8,621006	3,622791	14,606045	12,598336	12,733382	13,014544	9,734874	12,997861	8,579075	0,788847	0,493253	3,007805
10:36:28,3	45,152696	-2,484492	-6,352505	-9,906898	3,622791	14,657466	12,598336	12,733382	13,014544	9,734874	12,997861	8,579075	0,788847	0,493253	3,007805
10:36:28,4	45,152696	-2,484492	-3,139277	-8,621006	3,622791	14,657466	12,598336	12,733382	13,014544	9,734874	12,997861	8,579075	0,788847	0,493253	3,007805
10:36:28,5	45,152696	-5,699322	-3,139277	-3,477437	3,617249	14,554623	12,598336	12,733382	13,014544	9,734874	12,997861	8,579075	0,788847	0,493253	3,007805
10:36:28,5	45,152696	0,730338	-6,352505	-3,477437	3,628334	14,503201	12,837617	12,661699	12,624689	16,863375	14,270838	12,378884	6,812322	9,967866	22,803116
10:36:28,6	48,367202	0,730338	-6,352505	-2,191545	3,633876	14,708888	12,837617	12,661699	12,624689	16,863375	14,270838	12,378884	6,812322	9,967866	22,803116
10:36:28,7	51,581707	-5,699322	-3,139277	-2,191545	3,622791	14,760309	12,837617	12,661699	12,624689	16,863375	14,270838	12,378884	6,812322	9,967866	22,803116
10:36:28,7	41,938191	0,730338	-3,139277	-3,477437	3,622791	14,657466	12,837617	12,661699	12,624689	16,863375	14,270838	12,378884	6,812322	9,967866	22,803116
10:36:28,8	48,367202	-2,484492	-9,565733	-2,191545	3,628334	14,606045	12,837617	12,661699	12,624689	16,863375	14,270838	12,378884	6,812322	9,967866	22,803116
10:36:28,9	45,152696	-2,484492	-3,139277	-0,905652	3,622791	14,503201	12,837617	12,661699	12,624689	16,863375	14,270838	12,378884	6,812322	9,967866	22,803116
10:36:28,9	45,152696	3,945168	0,073950	-4,763329	3,617249	14,451780	12,837617	12,661699	12,624689	16,863375	14,270838	12,378884	6,812322	9,967866	22,803116
10:36:29,0	41,938191	0,730338	-6,352505	-8,621006	3,622791	14,451780	12,837617	12,661699	12,624689	16,863375	14,270838	12,378884	6,812322	9,967866	22,803116
