Minutes,total_flowrate,fl_L1,fl_L2,total_bed_height,p1,flowrate_combi,bed_exp,initial_bed_height,step_size,normalized_p
1.1948333333333372,2.1787829968412953,0.13722496232088835,0.2522416058668657,1.185888367183769,-0.5200313314583177,0.389466568187754,-0.010111632816233913,1.196,2,-0.5274151434668537
3.2275000000000107,59.89688012561065,14.985601987682713,14.986528228504344,1.1860636203237647,20.73314033657861,29.97213021618706,-0.00993637967623868,1.1959999999999997,2,21.027525696327192
5.2233333333333505,71.92982070552738,20.987578079613712,20.987850049941798,1.1865654861317385,29.982659040302888,41.97542812955551,-0.009434513868264657,1.196,2,30.40837630862362
7.226833333333357,83.93675609502176,26.98785781942249,26.98803964579247,1.1870295537332347,40.473981458348895,53.97589746521497,-0.008970446266768357,1.1960000000000002,2,41.048662736662166
9.228157039182069,95.93704739465164,32.98768524631015,32.987798048274016,1.2093980300649438,37.54093340758844,65.97548329458417,0.013398030064940359,1.196,2,38.073968973213425
11.230650000000038,107.93869654314774,38.98747845213623,38.98787195154757,1.2091614138312667,37.042149913433235,77.97535040368379,0.013161413831263064,1.1959999999999997,2,37.56810336047995
13.233483333333378,119.9384419425353,44.98748035801546,44.98766562453725,1.2029516075991356,36.54924555853491,89.9751459825527,0.006951607599131654,1.196,2,37.06820036362567
15.234150000000053,131.94271121887692,50.9879264187067,50.98814747658308,1.2010845060958,36.84695437553352,101.97607389528977,0.005084506095795922,1.196,2,37.37013628350256
17.233316666666724,143.9409651732452,56.988110050363396,56.987893373240084,1.206489003008123,36.806072879278595,113.97600342360352,0.010489003008119247,1.196,2,37.328674319755166
19.238483571448906,155.943459850414,62.98845724519794,62.98863840134075,1.2100764782406443,36.69145577521157,125.9770956465387,0.014076478240640731,1.196,2,37.21242979230383
1.195500000000004,2.1470998807871036,0.13352720887411432,0.24831104125085351,1.1941764982699203,-1.749595607694775,0.38183825012496786,-0.002823501730083743,1.197,2,-1.7744377359987575
3.214166666666677,65.89738666477031,17.984859158784012,17.98563327010466,1.1947107005836206,26.44918594647097,35.97049242888868,-0.0022892994163839385,1.1969999999999998,2,26.82473219723222
5.215500000000017,101.93017627759976,35.986715494892934,35.98653857183175,1.2015570900924897,37.96231791820491,71.97325406672468,0.0045570900924855745,1.197,2,38.501336631039464
7.219333333333359,137.93709231777027,53.98758620653223,53.98723854690409,1.216417800051804,36.52962025217614,107.97482475343631,0.01941780005179991,1.197,2,37.04829640180136
9.207833333333364,173.93834288576286,71.98729252851511,71.98701208958157,1.2179382308592757,36.40838748147634,143.97430461809665,0.020938230859272215,1.197,2,36.925342273302576
11.219166666666704,209.93746900114692,89.98604286945309,89.9866206654048,1.222320632798034,36.53587840780351,179.97266353485784,0.025320632798030342,1.197,2,37.05464341562222
13.219500000000044,245.93982744093233,107.98636536521211,107.98843135074267,1.2256551936716067,36.544491227751536,215.97479671595477,0.028655193671602314,1.197,2,37.06337852713138
15.221333568873307,281.9431281017574,125.98869817889852,125.98760371514251,1.2303600418347844,37.13786345092611,251.97630189404106,0.03336004183477981,1.1969999999999998,2,37.665175913718166
1.1918333333333375,2.0091882714548617,0.11834489314104428,0.22692492722012322,1.2416410211640487,-0.5043674304517988,0.34526982036116755,-0.014358978835955568,1.256,2,-0.5115288341296134
3.2269833333333433,59.90261919322008,14.985701566540104,14.986746818877657,1.282010107147496,20.35692068456516,29.972448385417767,0.026010107147491413,1.2560000000000002,2,20.645964183128967
5.218316666666683,71.93305212326747,20.98769682729995,20.987936214021854,1.3083099458869976,29.190700933703088,41.97563304132181,0.05230994588699308,1.256,2,29.60517336075364
7.221983333333358,83.93728353963459,26.987081200621933,26.987728525541876,1.2112701265936672,39.81261958567162,53.974809726163805,-0.044729873406336954,1.256,2,40.37791033029576
9.222983333333364,95.93870971627366,32.98773579509453,32.9878814565319,1.1906339662820145,38.479806072204525,65.9756172516264,-0.06536603371798981,1.256,2,39.02617248702285
11.22298333333337,107.94070531461857,38.987914277873195,38.987780610749574,1.1920248791499306,37.38203337329804,77.97569488862278,-0.0639751208500737,1.256,2,37.91281275182357
13.222650000000046,119.94055330148565,44.98768931683765,44.98764586769533,1.201005464725784,37.1129046475799,89.97533518453297,-0.054994535274220505,1.256,2,37.639862725740265
